chembl_id,smiles,standard_value,bioactivity,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL107284,Oc1nc2ccc(N3CCNCC3)nc2c2ccccc12,58.0,active,280.331,1.8981999999999997,2.0,5.0
CHEMBL603407,CNC1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,2.3,active,451.32900000000024,3.4883000000000015,2.0,4.0
CHEMBL603135,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncc3ccccc3n2)CC1,1.0,active,551.4090000000001,4.569900000000004,1.0,6.0
CHEMBL603448,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2cccnc2)CC1,12.0,active,500.3610000000003,4.021700000000003,1.0,5.0
CHEMBL597324,CN(C)C(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,5.1,active,536.4350000000001,3.2889000000000017,1.0,5.0
CHEMBL599801,CC(C)CN1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,14.0,active,479.3830000000002,4.078100000000004,1.0,4.0
CHEMBL602535,CC(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,6.3,active,465.3120000000002,2.9686000000000012,1.0,4.0
CHEMBL542692,O=C(CN1CCC(N2CCCC2)CC1)Nc1cnc2c(c1)nc(O)c1ccccc12,134.0,active,405.5020000000001,2.9873000000000003,2.0,6.0
CHEMBL121999,NC(=O)c1ccc(Cl)cc1,300000.0,inactive,155.584,1.4389,1.0,1.0
CHEMBL592486,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(Cc5ccc(F)cc5)CCCN4)CC3)c2)n[nH]c(=O)c1C,3.6,active,549.6220000000002,2.9050400000000005,2.0,5.0
CHEMBL479541,NC(=O)c1cc(F)cc(F)c1OCc1ccc(F)c(C(=O)N2CCNCC2)c1,1500.0,intermediate,393.3650000000002,1.8272,2.0,4.0
CHEMBL471102,NC(=O)c1cc(F)c(F)cc1OCc1ccc(F)c(C(=O)N2CCNCC2)c1,240.0,active,393.3650000000002,1.8272,2.0,4.0
CHEMBL480528,NC(=O)c1ccccc1OCc1ccc(F)c(C(=O)N2CCN(C(=O)C3CCCC3)CC2)c1,24.0,active,453.51400000000035,2.978200000000002,1.0,4.0
CHEMBL84265,O=S(=O)(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,210.0,active,375.4940000000001,2.1141999999999994,1.0,5.0
CHEMBL312183,O=C(CCCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,457.0,active,353.4660000000001,3.0912000000000015,1.0,4.0
CHEMBL568910,CC(C)NCCc1c[nH]c2ccc3c(c12)CCNC3=O,82.0,active,271.364,1.9943,3.0,2.0
