molecule_chembl_id,canonical_smiles,standard_type,relation,standard_value,standard_units
CHEMBL107284,CS(=O)(=O)O.Oc1nc2ccc(N3CCNCC3)nc2c2ccccc12,IC50,'=',58.0,nM
CHEMBL2347908,CN1CCCC(c2nc3c(C(N)=O)cncc3[nH]2)C1,Inhibition,'=',23.1,%
CHEMBL603407,CNC1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,'=',2.3,nM
CHEMBL603135,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncc3ccccc3n2)CC1,IC50,'=',1.0,nM
CHEMBL603448,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2cccnc2)CC1,IC50,'=',12.0,nM
CHEMBL597324,CN(C)C(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,'=',5.1,nM
CHEMBL599801,CC(C)CN1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,'=',14.0,nM
CHEMBL602535,CC(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,IC50,'=',6.3,nM
CHEMBL542692,Cl.O=C(CN1CCC(N2CCCC2)CC1)Nc1cnc2c(c1)nc(O)c1ccccc12,IC50,'=',134.0,nM
CHEMBL267373,NC(=O)c1ccccc1,IC50,'=',22000.0,nM
CHEMBL144488,O=C1NCc2c(-c3ccccc3)[nH]c3cccc1c23,Ki,'<',5.0,nM
CHEMBL143949,CC(C)(C)c1ccc(-c2[nH]c3cccc4c3c2CCNC4=O)cc1,Ki,'=',29.0,nM
CHEMBL133976,COc1cc(-c2nc3c(C(N)=O)cccc3[nH]2)ccc1O,Ki,'=',13.0,nM
CHEMBL121999,NC(=O)c1ccc(Cl)cc1,IC50,'=',300000.0,nM
CHEMBL133694,NC(=O)c1cccc2[nH]cnc12,Ki,'=',240.0,nM
CHEMBL517843,CC(C)(NCC1CC1)c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',7.0,nM
CHEMBL592486,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(Cc5ccc(F)cc5)CCCN4)CC3)c2)n[nH]c(=O)c1C,IC50,'=',3.6,nM
CHEMBL479541,NC(=O)c1cc(F)cc(F)c1OCc1ccc(F)c(C(=O)N2CCNCC2)c1,IC50,'=',1500.0,nM
CHEMBL471102,NC(=O)c1cc(F)c(F)cc1OCc1ccc(F)c(C(=O)N2CCNCC2)c1,IC50,'=',240.0,nM
CHEMBL480528,NC(=O)c1ccccc1OCc1ccc(F)c(C(=O)N2CCN(C(=O)C3CCCC3)CC2)c1,IC50,'=',24.0,nM
CHEMBL479780,CC(C)(NC1CCCC1)c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',9.0,nM
CHEMBL84265,O=S(=O)(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,IC50,'=',210.0,nM
CHEMBL511050,CN1CCC[C@@H]1c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',8.0,nM
CHEMBL488237,CC(C)N1CCC1c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',110.0,nM
CHEMBL312183,O=C(CCCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,IC50,'=',457.0,nM
CHEMBL67224,CN1CCn2c(-c3cccc4ccccc34)nc3cccc(c32)C1=O,Inhibition,'=',40.0,%
CHEMBL417036,CN(C)Cc1cccc(-c2nc3cccc4c3n2CCNC4=O)c1,Ki,'=',6.3,nM
CHEMBL540734,O=C1Nc2cc(CN3CCCC3)ccc2N2CCCC12,Ki,'=',96.0,nM
CHEMBL550336,O=C1Nc2cc(CN3CCCC3)ccc2N2CCCCC12,Ki,'=',115.0,nM
CHEMBL194155,Nc1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,EC50,'=',95.0,nM
CHEMBL568910,CC(C)NCCc1c[nH]c2ccc3c(c12)CCNC3=O,IC50,'=',82.0,nM
CHEMBL1767053,O=C(Nc1cccc2c(=O)[nH]ccc12)c1ccc(I)cc1,IC50,'=',7600.0,nM
CHEMBL471966,Cc1ccc2cccc(C(N)=O)c2n1,IC50,'=',500.0,nM
CHEMBL453989,CCc1cnc2c(C(N)=O)cccc2c1,IC50,'=',3700.0,nM
CHEMBL196559,O=C1CCCN1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,IC50,'=',120.0,nM
CHEMBL320031,O=c1[nH]c2cccnc2c2ccccc12,IC50,'=',116.0,nM
CHEMBL107616,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,IC50,'=',70.0,nM
CHEMBL1171304,O=c1[nH]c(NCCN2CCN(c3n[nH]c4ccccc34)CC2)nc2ccccc12,IC50,'=',9.931,nM
CHEMBL48138,O=C([O-])c1ccc2c(c1)nc(O)c1ccccc12.[Na+],IC50,'=',57.0,nM
CHEMBL65892,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,Ki,'=',5.8,nM
CHEMBL1949842,Cc1cccc2nc[nH]c(=O)c12,Inhibition,'=',40.0,%
CHEMBL1949844,O=c1[nH]cnc2ccc(Cl)cc12,IC50,'=',10980.0,nM
CHEMBL1949851,Cc1ccc2c(=O)[nH]cnc2c1,IC50,'=',25000.0,nM
CHEMBL395092,Cc1nc2ccccc2c(=O)[nH]1,IC50,'=',1210.0,nM
CHEMBL1090136,NC(=O)c1cccc2[nH]c(-c3ccc(C4CCNCC4)cc3)nc12,Ki,'=',2.0,nM
CHEMBL1088788,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc12,Ki,'=',3.0,nM
CHEMBL1090466,NC(=O)c1cccc2[nH]c(-c3ccc([C@H]4CCCN4)cc3F)nc12,Ki,'=',4.0,nM
CHEMBL1092691,NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCNC4)cc3)nc12,EC50,'=',21.0,nM
CHEMBL1092223,CC(C)N1CCCC(c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)C1,EC50,'=',26.0,nM
CHEMBL108137,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cncnc2)cc1,IC50,'=',25.0,nM
CHEMBL419020,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccc2C(F)(F)F)CC1,IC50,'=',40.0,nM
CHEMBL2381958,CC1(C)OC(=O)N(c2ccc(C(=O)Nc3cccc4cccnc34)cc2)[C@H]1c1ccccc1,IC50,'>',10000.0,nM
CHEMBL204250,O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c23)CCC1,Activity,,,
CHEMBL421646,O=c1[nH]c(=O)c2ccccc2[nH]1,IC50,'=',8100.0,nM
CHEMBL471101,NC(=O)c1cc(F)ccc1OCc1ccc(F)c(C(=O)N2CCNCC2)c1,IC50,'=',29.0,nM
CHEMBL480900,NC(=O)c1ccccc1OCc1cccc(C(=O)N2CCN(C(=O)C3CCCC3)CC2)c1,IC50,'=',188.0,nM
CHEMBL321638,COc1ccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)cc1,IC50,'=',15.0,nM
CHEMBL3105875,NC(=O)n1ccc2cccnc21,IC50,'=',2500.0,nM
CHEMBL3105886,NC(=O)n1ccc2ccc(-c3ccc(CN4CCCCC4)cc3)nc21,IC50,'=',70.0,nM
CHEMBL1094636,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,IC50,'=',32.3,nM
CHEMBL504878,NC(=O)c1cccc2[nH]c(C3CN(C4CCCC4)C3)nc12,EC50,'=',18.0,nM
CHEMBL108339,COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,IC50,'=',25.0,nM
CHEMBL1767065,O=C(O)CNc1cccc2c(=O)[nH]ccc12,IC50,'=',1600.0,nM
CHEMBL1584950,O=C(Oc1cccc2c(O)nccc12)c1ccccc1,IC50,'=',4100.0,nM
CHEMBL1767068,O=c1[nH]c(CCCCN2CC=C(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,IC50,'=',13.0,nM
CHEMBL481084,CC(C)(c1nc2c(C(N)=O)cccc2[nH]1)N1CCCC1,Ki,'=',3.0,nM
CHEMBL4465327,COc1cc(O)c(Cl)c(C)c1-c1cc(O)cc2cc3c(c(O)c12)C(=O)c1c(O)cc(O)cc1C3(C)C,IC50,'=',4860.0,nM
CHEMBL4475087,COc1cc(O)c(Cl)c(C)c1-c1cc(O)cc2cc3c(c(O)c12)C(=O)c1c(O)c(Cl)c(O)c(Cl)c1C3(C)C,Inhibition,,,%
CHEMBL488496,NC(=O)c1cccc2[nH]c(C3CCNC3)nc12,Ki,'=',4.0,nM
CHEMBL498007,CN1CCC(C)(c2nc3c(C(N)=O)cccc3[nH]2)C1,EC50,'=',1.0,nM
CHEMBL497181,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCC(=O)N1,EC50,'=',28.0,nM
CHEMBL495950,CC1(c2nc3c(C(N)=O)cc(C(F)(F)F)cc3[nH]2)CCCN1,EC50,'>',1000.0,nM
CHEMBL364364,Oc1ccc(C2=CCN(CCCc3nc(O)c4ccccc4n3)CC2)cc1,IC50,'=',12.0,nM
CHEMBL480233,COc1ccc(-c2cnc3c(C(N)=O)cccc3c2)cc1,IC50,'=',62000.0,nM
CHEMBL125759,NC(=O)c1cccc(F)c1,IC50,'=',20000.0,nM
CHEMBL3394708,COc1ccc2c(c1)CCN1C(=O)c3ccccc3C21O,IC50,'=',1075.6,nM
CHEMBL3394704,COc1ccc(OC)c2c1CCN1C(=O)c3ccccc3C21O,IC50,'=',1279.7,nM
CHEMBL3394709,O=C1c2ccccc2C2(O)c3ccc(Br)cc3CCN12,IC50,'=',138.5,nM
CHEMBL439984,O=C1NCCc2c(-c3cccc(C(F)(F)F)c3)[nH]c3cccc1c23,Ki,'=',6.0,nM
CHEMBL105765,O=C(CCCCCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,IC50,'=',250.0,nM
CHEMBL250489,O=c1[nH]c(CCCN2CCC(c3ccccc3)CC2)nc2c(Cl)cccc12,IC50,'=',103.0,nM
CHEMBL250488,Cc1cccc2c(=O)[nH]c(CCCN3CC=C(c4ccc(Cl)cc4)CC3)nc12,IC50,'=',16.0,nM
CHEMBL401843,Cc1cccc2c(=O)[nH]c(CCCN3CC=C(c4ccc(F)cc4)CC3)nc12,IC50,'=',8.0,nM
CHEMBL125596,NC(=O)c1ccc(F)cc1,IC50,'=',200000.0,nM
CHEMBL3735832,O=C(Cc1cccc(I)c1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,IC50,'=',5.8,nM
CHEMBL399637,Cc1cccc2c(=O)[nH]c(C3=CC(N4CC=C(c5ccc(F)cc5)CC4)CC3)nc12,IC50,'=',25.0,nM
CHEMBL4538780,COc1cccc(N2CCN(c3nc4c(c(=O)[nH]3)CSCC4)CC2)c1,IC50,'>',20000.0,nM
