chembl_id,smiles,standard_value,bioactivity
CHEMBL107284,Oc1nc2ccc(N3CCNCC3)nc2c2ccccc12,58.0,active
CHEMBL603407,CNC1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,2.3,active
CHEMBL603135,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2ncc3ccccc3n2)CC1,1.0,active
CHEMBL603448,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2cccnc2)CC1,12.0,active
CHEMBL597324,CN(C)C(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,5.1,active
CHEMBL599801,CC(C)CN1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,14.0,active
CHEMBL602535,CC(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,6.3,active
CHEMBL542692,O=C(CN1CCC(N2CCCC2)CC1)Nc1cnc2c(c1)nc(O)c1ccccc12,134.0,active
CHEMBL121999,NC(=O)c1ccc(Cl)cc1,300000.0,inactive
CHEMBL592486,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4(Cc5ccc(F)cc5)CCCN4)CC3)c2)n[nH]c(=O)c1C,3.6,active
CHEMBL479541,NC(=O)c1cc(F)cc(F)c1OCc1ccc(F)c(C(=O)N2CCNCC2)c1,1500.0,intermediate
CHEMBL471102,NC(=O)c1cc(F)c(F)cc1OCc1ccc(F)c(C(=O)N2CCNCC2)c1,240.0,active
CHEMBL480528,NC(=O)c1ccccc1OCc1ccc(F)c(C(=O)N2CCN(C(=O)C3CCCC3)CC2)c1,24.0,active
CHEMBL84265,O=S(=O)(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,210.0,active
CHEMBL312183,O=C(CCCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,457.0,active
CHEMBL568910,CC(C)NCCc1c[nH]c2ccc3c(c12)CCNC3=O,82.0,active
CHEMBL1767053,O=C(Nc1cccc2c(=O)[nH]ccc12)c1ccc(I)cc1,7600.0,intermediate
CHEMBL471966,Cc1ccc2cccc(C(N)=O)c2n1,500.0,active
CHEMBL453989,CCc1cnc2c(C(N)=O)cccc2c1,3700.0,intermediate
CHEMBL107616,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,70.0,active
